time,scenario,encryption,load_MBps,throughput_MBps,effective_throughput_MBps,total_delay_s,queue_delay_s,encryption_delay_s,packet_loss,utilization_rho
0,Traditional,No Encryption,64.53863196684338,64.53863196684338,64.53863196684338,1.067635853112864,1.067435853112864,0.0,0.0,0.999
1,Traditional,No Encryption,119.4655646164266,119.4655646164266,119.4655646164266,21.58606311640912,21.58586311640912,0.0,0.0,0.999
2,Traditional,No Encryption,79.19961162741231,79.19961162741231,79.19961162741231,1.7294344986929109,1.729234498692911,0.0,0.0,0.999
3,Traditional,No Encryption,64.56995052279174,64.56995052279174,64.56995052279174,1.0687073251039598,1.0685073251039598,0.0,0.0,0.999
4,Traditional,No Encryption,103.11950944296944,103.11950944296944,103.11950944296944,4.71305180623318,4.7128518062331795,0.0,0.0,0.999
5,Traditional,No Encryption,96.38976371902774,96.38976371902774,96.38976371902774,3.3692656299519435,3.3690656299519435,0.0,0.0,0.999
6,Traditional,No Encryption,133.685633382505,116.878677271875,116.878677271875,999.000199999999,998.9999999999992,0.0,0.0649705818249999,0.999
7,Traditional,No Encryption,51.12252842053705,51.12252842053705,51.12252842053705,0.6921907696834132,0.6919907696834132,0.0,0.0,0.999
8,Traditional,No Encryption,121.98869565606545,121.98869565606545,121.98869565606545,40.510451280903446,40.51025128090345,0.0,0.0,0.999
9,Traditional,No Encryption,139.72029153555894,111.83057112376136,111.83057112376136,999.000199999999,998.9999999999992,0.0,0.1053554310099089,0.999
10,Traditional,No Encryption,121.9121522196406,121.9121522196406,121.9121522196406,39.4814700920935,39.4812700920935,0.0,0.0,0.999
11,Traditional,No Encryption,147.8117209252926,105.7088024020587,105.7088024020587,999.000199999999,998.9999999999992,0.0,0.1543295807835304,0.999
12,Traditional,No Encryption,117.11611070158511,117.11611070158511,117.11611070158511,14.85531861831092,14.85511861831092,0.0,0.0,0.999
13,Traditional,No Encryption,107.47730126286012,107.47730126286012,107.47730126286012,6.133804353709443,6.133604353709442,0.0,0.0,0.999
14,Traditional,No Encryption,82.07099343464002,82.07099343464002,82.07099343464002,1.9119841292154252,1.9117841292154252,0.0,0.0,0.999
15,Traditional,No Encryption,264.20449494980124,59.139796251266446,59.139796251266446,999.000199999999,998.9999999999992,0.0,0.5268816299898684,0.999
16,Traditional,No Encryption,262.97611671832215,59.41604201546631,59.41604201546631,999.000199999999,998.9999999999992,0.0,0.5246716638762695,0.999
17,Traditional,No Encryption,322.5465906312842,48.44261404040559,48.44261404040559,999.000199999999,998.9999999999992,0.0,0.6124590876767553,0.999
18,Traditional,No Encryption,207.56326319814173,75.27825376827035,75.27825376827035,999.000199999999,998.9999999999992,0.0,0.3977739698538373,0.999
19,Traditional,No Encryption,346.2931979688781,45.12072455262099,45.12072455262099,999.000199999999,998.9999999999992,0.0,0.6390342035790321,0.999
20,Traditional,No Encryption,262.3141106291014,59.56599117953264,59.56599117953264,999.000199999999,998.9999999999992,0.0,0.5234720705637389,0.999
21,Traditional,No Encryption,307.3345627942549,50.8403606087746,50.8403606087746,999.000199999999,998.9999999999992,0.0,0.5932771151298032,0.999
22,Traditional,No Encryption,305.1517962463861,51.204024332152514,51.204024332152514,999.000199999999,998.9999999999992,0.0,0.5903678053427799,0.999
23,Traditional,No Encryption,275.5422138623866,56.706374609458415,56.706374609458415,999.000199999999,998.9999999999992,0.0,0.5463490031243327,0.999
